Nome científico	Categoria	Nome Popular
Spheniscus magellanicus (Forster, 1781)	NT	Pingüim
Spizaetus tyrannus (Wied, 1820)	NT	Gavião-pega-macaco
Sporophila bouvreuil (Müller, 1776)	NT	Caboclinho-dourado
Sporophila hypoxantha Cabanis, 1851	NT	Caboclinho-vermelho
Sporophila leucoptera (Vieillot, 1817)	NT	Patativa-chorona
Suiriri affinis (Burmeister, 1856)	NT	Suiriri-do-cerrado
Synallaxis hypospodia Sclater, 1874	DD	João-grilo
Tachornis squamata (Cassin, 1853)	DD	Taperá-do-buriti
Tangara cayana (Linnaeus, 1766)	NT	Saíra-de-gravata
Thalasseus maximus (Boddaert, 1783)	NT	Trinta-réis-real
Thamnophilus pelzelni Hellmayr, 1924	DD	Choca-da-mata
Tryngites subruficollis (Vieillot, 1819)	DD	Maçarico-acanelado
Tyranniscus burmeisteri (Cabanis & Heine, 1859)	DD	Piolhinho-chiador
Vanellus cayanus (Latham, 1790)	DD	Batuíra-de-esporão
