NOME CIENTÍFICO	AUTOR	ANO	NOME COMUM 	CLASSE	ORDEM	FAMÍLIA 	STATUS	CRITÉRIO
Cissopis leveriana	(Gmelin)	1788	tiê-tinga	Aves	Passeriformes	Emberizidae	NT	B1ab(iii)
Cistothorus platensis	(Latham)	1790	corruíra-do-campo	Aves	Passeriformes	Troglodytidae	NT	A3c+4c; B1b(iii)c(ii)
Cranioleuca sulphurifera	(Burmeister)	1869	arredio-de-papo - manchado	Aves	Passeriformes	Furnariidae	NT	C1
Drymornis bridgesii	(Eyton)	1850	arapaçu-platino	Aves	Passeriformes	Dendrocolaptidae	NT	D1
Geranoaetus melanoleucus	(Vieillot)	1819	águia-chilena	Aves	Falconiformes	Accipitridae	NT	A3c+4c; C1
Grallaria varia	(Boddaert)	1783	tovacuçu	Aves	Passeriformes	Formicariidae	NT	B1ab(iii)
Gubernetes yetapa	(Vieillot)	1818	tesoura-do-brejo	Aves	Passeriformes	Tyrannidae	NT	C1
Leptodon cayanensis	(Latham)	1790	gavião-de-cabeça-cinza	Aves	Falconiformes	Accipitridae	NT	D1
Limnoctites rectirostris	(Gould)	1839	arredio-do-gravatá, junqueiro-de-bico-reto	Aves	Passeriformes	Furnariidae	NT	A2c+3c+4c
Limnornis curvirostris	Gould	1839	joão-da-palha	Aves	Passeriformes	Furnariidae	NT	A2c
Mesembrinibis cayennensis	(Gmelin)	1789	coró-coró	Aves	Ciconiiformes	Threskiornithidae	NT	D1
Molothrus oryzivorus	(Gmelin)	1788	iraúna-grande	Aves	Passeriformes	Icteridae	NT	D1
Odontophorus capueira	(Spix)	1825	uru	Aves	Galliformes	Odontophoridae	NT	B1ab(ii, iii)
Phibalura flavirostris	Vieillot	1816	tesourinha-do-mato	Aves	Passeriformes	Cotingidae	NT	D1
Piprites pileata	(Temminck)	1822	caneleirinho-de-boné - preto	Aves	Passeriformes	Pipridae	NT	D1
Polioptila lactea	Sharpe	1885	balança-rabo-leitoso	Aves	Passeriformes	Muscicapidae	NT	C1
Poospiza melanoleuca	(d`Orbigny & Lafresnaye)	1837	capacetinho	Aves	Passeriformes	Emberizidae	NT	D1
Pteroglossus castanotis	Gould	1834	araçari-castanho	Aves	Piciformes	Ramphastidae	NT	D1
Pyriglena leucoptera	(Vieillot)	1818	papa-taoca	Aves	Passeriformes	Formicariidae	NT	B1ab(ii, iii)
Sarcoramphus papa	(Linnaeus)	1758	urubu-rei	Aves	Falconiformes	Cathartidae	NT	B1ab(iii)+2ab(iii); C1
Sarkidiornis sylvicola	(Pennant)	1769	pato-de-crista	Aves	Anseriformes	Anatidae	NT	D1
Spheniscus magellanicus	(Forster)	1781	pinguim-de-magalhães	Aves	Sphenisciformes	Spheniscidae	NT	A2bcde
Sporophila cinnamomea	(Lafresnaye)	1839	caboclinho-de-chapéu - cinzento	Aves	Passeriformes	Emberizidae	NT	C1
Sporophila collaris	(Boddaert)	1783	coleiro-do-brejo	Aves	Passeriformes	Emberizidae	NT	C1
Tangara cyanocephala	(Müller)	1776	saíra-militar	Aves	Passeriformes	Emberizidae	NT	C1
Tangara seledon	(Müller)	1776	saíra-de-sete-cores	Aves	Passeriformes	Emberizidae	NT	C1
Triclaria malachitacea	(Spix)	1824	sabiá-cica	Aves	Psittaciformes	Psittacidae	NT	B1ab(ii, iii, v); C1
Tryngites subruficollis	(Vieillot)	1819	maçarico-acanelado	Aves	Charadriiformes	Scolopacidae	NT	C1
Aegolius harrisii	Sharpe	1899	caburé-acanelado	Aves	Strigiformes	Strigidae	DD	
Arremon semitorquatus	Swainson	1838	tico-tico-do-mato	Aves	Passeriformes	Emberizidae	DD	
Brotogeris tirica	(Gmelin)	1788	periquito-rico	Aves	Psittaciformes	Psittacidae	DD	
Campephilus leucopogon	(Valenciennes)	1826	pica-pau-de-barriga-preta	Aves	Piciformes	Picidae	DD	
Chondrohierax uncinatus	(Temminck)	1822	caracoleiro	Aves	Falconiformes	Accipitridae	DD	
Coccyzus euleri	Cabanis	1873	papa-lagarta-de-euler	Aves	Cuculiformes	Cuculidae	DD	
Colibri serrirostris	(Vieillot)	1816	beija-flor-de-orelha-violeta	Aves	Apodiformes	Trochilidae	DD	
Coturnicops notatus	(Gould)	1841	pinto-d`água-pintalgado	Aves	Gruiformes	Rallidae	DD	
Gelochelidon nilotica	(Gmelin)	1789	trinta-réis-de-bico-preto	Aves	Charadriiformes	Sternidae	DD	
Macronectes halli	Mathews	1912	pardelão-gigante-de-bico - vermelho	Aves	Procellariiformes	Procellariidae	DD	
Nonnula rubecula	(Spix)	1824	macuru	Aves	Galbuliformes	Bucconidae	DD	
Orthogonys chloricterus	(Vieillot)	1819	catirumbava	Aves	Passeriformes	Thraupidae	DD	
Penelope superciliaris	Temminck	1815	jacupemba, jacu-velho	Aves	Galliformes	Cracidae	DD	
Phyllomyias griseocapilla	Sclater	1862	piolhinho-serrano	Aves	Passeriformes	Tyrannidae	DD	
Polytmus guainumbi	(Pallas)	1764	beija-flor-de-bico-curvo	Aves	Apodiformes	Trochilidae	DD	
Porzana flaviventer	(Boddaert)	1783	sanã-amarela	Aves	Gruiformes	Rallidae	DD	
Strix virgata	(Cassin)	1849	coruja-do-mato	Aves	Strigiformes	Strigidae	DD	
Thalassarche cauta	(Gould)	1841	albatroz-arisco	Aves	Procellariiformes	Diomedeidae	DD	
