Nome científico	Nome vulgar	Categoria
Calidris subruficollis (Vieillot, 1819)	maçarico-pernilongo	DD
Phalaropus tricolor (Vieillot, 1819)	pisa-n'água	DD
Nycticryphes semicollaris (Vieillot, 1816)	narceja-de-bico-torto	DD
Stercorarius chilensis Bonaparte, 1857	mandrião-chileno	DD
Stercorarius maccormicki Saunders, 1893	mandrião-do-sul	DD
Stercorarius antarcticus (Lesson, 1831)	mandrião-antártico	DD
Stercorarius pomarinus (Temminck, 1815)	mandrião-pomarino	DD
Stercorarius parasiticus (Linnaeus, 1758)	mandrião-parasítico	DD
Stercorarius longicaudus Vieillot, 1819	mandrião-de-cauda-comprida	DD
Chroicocephalus cirrocephalus (Vieillot, 1818)	gaivota-de-cabeça-cinza	DD
Thalurania furcata (Gmelin, 1788)	beija-flor-tesoura-verde	DD
Hylocharis cyanus (Vieillot, 1818)	beija-flor-roxo	DD
Phacellodomus rufifrons (Wied, 1821)	joão-de-pau	DD
Synallaxis hypospodia Sclater, 1874	joão-grilo	DD
Synallaxis albilora Pelzeln, 1856	joão-do-pantanal	DD
Laniisoma elegans (Thunberg, 1823)	chibante	DD
Tityra semifasciata (Spix, 1825)	anambé-branco-de-máscara-negra	DD
Xenopsaris albinucha (Burmeister, 1869)	tijerila	DD
Phibalura flavirostris Vieillot, 1816	tesourinha-da-mata	DD
Tyrannus albogularis Burmeister, 1856	suiriri-de-garganta-branca	DD
Griseotyrannus aurantioatrocristatus (d?Orbigny & Lafresnaye, 1837)	peitica-de-chapéu-preto	DD
Xolmis irupero (Vieillot, 1823)	noivinha	DD
Progne subis (Linnaeus, 1758)	andorinha-azul	DD
Progne elegans Baird, 1865)	andorinha-do-sul	DD
Psarocolius decumanus (Pallas, 1769)	japu	DD
Sporophila nigricollis (Vieillot, 1823)	baiano	DD
