Nomes	CBRO	Referência (handbook of the bird of the world and BirdLife)		Arrumar
Cichlopsis leucogenys	Cichlopsis leucogenys	Cichlopsis leucogenys		
Cichlopsis leucogenys	Cichlopsis leucogenys			
Cichlopsisleucogenys	Cichlopsis leucogenys	Cichlopsis leucogenys		
Ciconia maguari	Ciconia maguari	Ciconia maguari		
Cinclodes espinhacensis	Cinclodes espinhacensis	Cinclodes pabsti		
Cinclodes pabsti	Cinclodes pabsti	Cinclodes pabsti		
Cinclodes espinhacensis	Cinclodes espinhacensis			
Circus buffoni	Circus buffoni	Circus buffoni		
Circus cinereus	Circus cinereus	Circus cinereus		
Circus cinereus	Circus cinereus			
Cissopis leveriana	Cissopis leverianus	Cissopis leverianus		
Cissopis leverianus	Cissopis leverianus	Cissopis leverianus		
Cistothorus platensis	Cistothorus platensis	Cistothorus platensis		
Claravis geoffroyi	Paraclaravis geoffroyi	Paraclaravis geoffroyi		
Claravis godefrida	Paraclaravis geoffroyi	Paraclaravis geoffroyi		
Claravis geoffroyi	Paraclaravis geoffroyi			
Claravis pretiosa	Claravis pretiosa			
Clibanornis dendrocolaptoides	Clibanornis dendrocolaptoides	Clibanornis dendrocolaptoides		
Clibanornis rectirostris	Clibanornis rectirostris	Clibanornis rectirostris		
Clytoctantesatrogularis	Clytoctantes atrogularis	Clytoctantes atrogularis		
Cnemotriccus fuscatus fuscatus	Cnemotriccus fuscatus fuscatus	Cnemotriccus fuscatus fuscatus		
Cnipodectessuperrufus	Cnipodectes superrufus	Cnipodectes superrufus		
Coccyzus euleri	Coccyzus euleri	Coccyzus euleri		
Cochlearius cochlearius	Cochlearius cochlearius	Cochlearius cochlearius		
Cochlearius cochlearius cochlearius	Cochlearius cochlearius cochlearius	Cochlearius cochlearius cochlearius		
Colibri delphinae	Colibri delphinae	Colibri delphinae		
Colibri serrirostris	Colibri serrirostris			
Colibridelphinae greenewalti	Colibri delphinae greenewalti			
Colonia colonus	Colonia colonus	Colonia colonus		
Columba speciosa	Patagioenas speciosa	Patagioenas speciosa		
Columba cayennensis	Patagioenas cayennensis			
Columba plumbea	Patagioenas plumbea			
Columbina cyanopis	Columbina cyanopis	Columbina cyanopis		
Columbina minuta	Columbina minuta	Columbina minuta		
Columbina cyanopis	Columbina cyanopis			
Conirostrum bicolor	Conirostrum bicolor	Conirostrum bicolor		
Conopias trivirgatus	Conopias trivirgatus	Conopias trivirgatus		
