Grupo	Classe	Ordem	Família	Táxon	Nome Vernacular	Categoria
Aves	Aves	Psittaciformes	Psittacidae	Amazona brasiliensis (Linnaeus, 1758)	papagaio-de-cara-roxa	EN
Aves	Aves	Psittaciformes	Psittacidae	Amazona amazonica (Linnaeus, 1766)	curica	VU
Aves	Aves	Psittaciformes	Psittacidae	Amazona farinosa (Boddaert, 1783)	papagaio-moleiro	CR
Aves	Aves	Psittaciformes	Psittacidae	Amazona vinacea (Kuhl, 1820)	papagaio-de-peito-roxo	EN
Aves	Aves	Psittaciformes	Psittacidae	Triclaria malachitacea (Spix, 1824)	sabiá-cica	VU
Aves	Aves	Cuculiformes	Cuculidae	Crotophaga major (Gmelin, 1788)	anu-coroca	VU
Aves	Aves	Cuculiformes	Cuculidae	Dromococcyx phasianellus (Spix, 1824)	peixe-frito-verdadeiro	CR
Aves	Aves	Strigiformes	Strigidae	Bubo virginianus (Gmelin, 1788)	jacurutu	VU
Aves	Aves	Strigiformes	Strigidae	Asio flammeus (Pontoppidan, 1763)	mocho-dos-banhados	EN
Aves	Aves	Caprimulgiformes	Nyctibiidae	Nyctibius grandis (Gmelin, 1789)	mãe-da-lua-gigante	CR
Aves	Aves	Caprimulgiformes	Nyctibiidae	Nyctibius aethereus (Wied, 1820)	mãe-da-lua-parda	CR
Aves	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus sericocaudatus (Cassin, 1849)	bacurau-rabo-de-seda	CR
Aves	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus maculicaudus (Lawrence, 1862)	bacurau-de-rabo-maculado	VU
Aves	Aves	Caprimulgiformes	Caprimulgidae	Eleothreptus anomalus (Gould, 1838)	curiango-do-banhado	CR
Aves	Aves	Caprimulgiformes	Caprimulgidae	Eleothreptus candicans (Pelzeln, 1867)	bacurau-de-rabo-branco	CR
Aves	Aves	Apodiformes	Apodidae	Tachornis squamata (Cassin, 1853)	tesourinha	VU
Aves	Aves	Apodiformes	Trochilidae	Lophornis magnificus (Vieillot, 1817)	topetinho-vermelho	VU
Aves	Aves	Apodiformes	Trochilidae	Thalurania furcata (Gmelin, 1788)	beija-flor-tesoura-verde	VU
Aves	Aves	Apodiformes	Trochilidae	Hylocharis sapphirina (Gmelin, 1788)	beija-flor-safira	VU
Aves	Aves	Apodiformes	Trochilidae	Polytmus guainumbi (Pallas, 1764)	beija-flor-de-bico-curvo	VU
Aves	Aves	Apodiformes	Trochilidae	Heliactin bilophus (Temminck, 1820)	chifre-de-ouro	CR
Aves	Aves	Coraciiformes	Momotidae	Momotus momota (Linnaeus, 1766)	udu-de-coroa-azul	VU
Aves	Aves	Galbuliformes	Galbulidae	Brachygalba lugubris (Swainson, 1838)	ariramba-preta	CR
Aves	Aves	Galbuliformes	Galbulidae	Jacamaralcyon tridactyla (Vieillot, 1817)	cuitelão	CR
Aves	Aves	Galbuliformes	Bucconidae	Nonnula rubecula (Spix, 1824)	macuru	VU
Aves	Aves	Galbuliformes	Bucconidae	Monasa nigrifrons (Spix, 1824)	chora-chuva-preto	CR
Aves	Aves	Galbuliformes	Bucconidae	Chelidoptera tenebrosa (Pallas, 1782)	urubuzinho	CR
Aves	Aves	Piciformes	Ramphastidae	Ramphastos vitellinus pintoi (Peters, 1945)	tucano-de-bico-preto	CR
Aves	Aves	Piciformes	Ramphastidae	Pteroglossus bailloni (Vieillot, 1819)	araçari-banana	VU
Aves	Aves	Piciformes	Ramphastidae	Pteroglossus aracari (Linnaeus, 1758)	araçari-de-bico-branco	CR
Aves	Aves	Piciformes	Ramphastidae	Pteroglossus castanotis (Gould, 1834)	araçari-castanho	CR
Aves	Aves	Piciformes	Picidae	Veniliornis mixtus (Boddaert, 1783)	pica-pau-chorão	CR
Aves	Aves	Piciformes	Picidae	Dryocopus galeatus (Temminck, 1822)	pica-pau-de-cara-canela	EN
Aves	Aves	Piciformes	Picidae	Campephilus melanoleucos (Gmelin, 1788)	pica-pau-de-topete- vermelho	VU
Aves	Aves	Passeriformes	Melanopareiidae	Melanopareia torquata (Wied, 1831)	tapaculo-de-colarinho	EN
Aves	Aves	Passeriformes	Thamnophilidae	Biatas nigropectus (Lafresnaye, 1850)	papo-branco	EN
Aves	Aves	Passeriformes	Thamnophilidae	Myrmotherula minor (Salvadori, 1864)	choquinha-pequena	VU
Aves	Aves	Passeriformes	Thamnophilidae	Myrmotherula unicolor (Ménétriès, 1835)	choquinha-cinzenta	VU
Aves	Aves	Passeriformes	Thamnophilidae	Herpsilochmus longirostris (Pelzeln, 1868)	chorozinho-de-bico- comprido	EN
Aves	Aves	Passeriformes	Thamnophilidae	Formicivora melanogaster (Pelzeln, 1868)	formigueiro-de-barriga- preta	VU
Aves	Aves	Passeriformes	Thamnophilidae	Formicivora aff. acutirostris	bicudinho-dobrejo-paulista	CR
Aves	Aves	Passeriformes	Scleruridae	Sclerurus mexicanus (Sclater, 1857)	vira-folha-de-peito-vermelho	VU
Aves	Aves	Passeriformes	Scleruridae	Geositta poeciloptera (Wied, 1830)	curriqueiro	CR
Aves	Aves	Passeriformes	Dendrocolaptidae	Campylorhamphus trochilirostris (Lichtenstein, 1820)	arapaçu-beija-flor	CR
Aves	Aves	Passeriformes	Furnariidae	Phleocryptes melanops (Vieillot, 1817)	bate-bico	VU
Aves	Aves	Passeriformes	Furnariidae	Oreophylax moreirae (Miranda-Ribeiro, 1906)	garrincha-chorona	EN
Aves	Aves	Passeriformes	Furnariidae	Synallaxis hypospodia (Sclater, 1874)	joão-grilo	EN
Aves	Aves	Passeriformes	Furnariidae	Synallaxis scutata (Sclater, 1859)	estrelinha-preta	EN
Aves	Aves	Passeriformes	Tyrannidae	Hemitriccus furcatus (Lafresnaye, 1846)	papa-moscas-estrela	VU
Aves	Aves	Passeriformes	Tyrannidae	Myiopagis gaimardii (d’Orbigny, 1839)	maria-pechim	VU
Aves	Aves	Passeriformes	Tyrannidae	Elaenia cristata (Pelzeln, 1868)	guaracava-de-topete- uniforme	EN
Aves	Aves	Passeriformes	Tyrannidae	Suiriri suiriri (Vieillot, 1818)	suiriri-cinzento	CR
Aves	Aves	Passeriformes	Tyrannidae	Polystictus pectoralis (Vieillot, 1817)	papa-moscas-canela	CR
Aves	Aves	Passeriformes	Tyrannidae	Euscarthmus rufomarginatus (Pelzeln, 1868)	maria-corruíra	CR
Aves	Aves	Passeriformes	Tyrannidae	Phylloscartes eximius (Temminck, 1822)	barbudinho	VU
Aves	Aves	Passeriformes	Tyrannidae	Phylloscartes kronei (Willis & Oniki, 1992)	maria-da-restinga	VU
Aves	Aves	Passeriformes	Tyrannidae	Phylloscartes paulista (Ihering & Ihering, 1907)	não-pode-parar	VU
Aves	Aves	Passeriformes	Tyrannidae	Sublegatus modestus (Wied, 1831)	guaracava-modesta	EN
Aves	Aves	Passeriformes	Tyrannidae	Culicivora caudacuta (Vieillot, 1818)	papa-moscas-do-campo	CR
Aves	Aves	Passeriformes	Tyrannidae	Platyrinchus leucoryphus (Wied, 1831)	patinho-gigante	VU
Aves	Aves	Passeriformes	Tyrannidae	Onychorhynchus swainsoni (Pelzeln, 1858)	maria-leque	VU
Aves	Aves	Passeriformes	Tyrannidae	Alectrurus tricolor (Vieillot, 1816)	galito	CR
Aves	Aves	Passeriformes	Cotingidae	Carpornis melanocephala (Wied, 1820)	sabiá-pimenta	CR
Aves	Aves	Passeriformes	Cotingidae	Procnias nudicollis (Vieillot, 1817)	araponga	VU
Aves	Aves	Passeriformes	Cotingidae	Lipaugus lanioides (Lesson, 1844)	tropeiro-da-serra	VU
Aves	Aves	Passeriformes	Cotingidae	Pyroderus scutatus (Shaw, 1792)	pavó	VU
Aves	Aves	Passeriformes	Pipridae	Neopelma pallescens (Lafresnaye, 1853)	fruxu-do-cerradão	VU
Aves	Aves	Passeriformes	Pipridae	Piprites pileata (Temminck, 1822)	caneleirinho-de-chapéu- preto	VU
Aves	Aves	Passeriformes	Pipridae	Pipra fasciicauda (Hellmayr, 1906)	uirapuru-laranja	VU
Aves	Aves	Passeriformes	Tityridae	Laniisoma elegans (Thunberg, 1823)	chibante	VU
Aves	Aves	Passeriformes	Tityridae	Iodopleura pipra (Lesson, 1831)	anambezinho	EN
Aves	Aves	Passeriformes	Troglodytidae	Cistothorus platensis (Latham, 1790)	corruíra-do-campo	CR
Aves	Aves	Passeriformes	Motacillidae	Anthus nattereri (Sclater, 1878)	caminheiro-grande	CR
Aves	Aves	Passeriformes	Thraupidae	Schistochlamys melanopis (Latham, 1790)	sanhaçu-de-coleira	EN
Aves	Aves	Passeriformes	Thraupidae	Neothraupis fasciata (Lichtenstein, 1823)	cigarra-do-campo	EN
Aves	Aves	Passeriformes	Thraupidae	Cypsnagra hirundinacea (Lesson, 1831)	bandoleta	EN
Aves	Aves	Passeriformes	Thraupidae	Eucometis penicillata (Spix, 1825)	pipira-da-taoca	EN
Aves	Aves	Passeriformes	Thraupidae	Tachyphonus rufus (Boddaert, 1783)	pipira-preta	VU
Aves	Aves	Passeriformes	Thraupidae	Tangara peruviana (Desmarest, 1806)	saíra-sapucaia	EN
Aves	Aves	Passeriformes	Thraupidae	Dacnis nigripes (Pelzeln, 1856)	saí-de-pernas-pretas	VU
Aves	Aves	Passeriformes	Emberizidae	Donacospiza albifrons (Vieillot, 1817)	tico-tico-do-banhado	VU
Aves	Aves	Passeriformes	Emberizidae	Poospiza cinerea (Bonaparte, 1850)	capacetinho-do-oco-do-pau	CR
Aves	Aves	Passeriformes	Emberizidae	Emberizoides ypiranganus (Ihering & Ihering, 1907)	canário-do-brejo	VU
Aves	Aves	Passeriformes	Emberizidae	Embernagra platensis (Gmelin, 1789)	sabiá-do-banhado	VU
Aves	Aves	Passeriformes	Emberizidae	Sporophila frontalis (Verreaux, 1869)	pixoxó	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila falcirostris (Temminck, 1820)	cigarra-verdadeira	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila plumbea (Wied, 1830)	patativa	EN
Aves	Aves	Passeriformes	Emberizidae	Sporophila collaris (Boddaert, 1783)	coleiro-do-brejo	VU
Aves	Aves	Passeriformes	Emberizidae	Sporophila bouvreuil (Statius Müller, 1776)	caboclinho	VU
Aves	Aves	Passeriformes	Emberizidae	Sporophila pileata (Sclater, 1864)	caboclinho-coroado	EN
Aves	Aves	Passeriformes	Emberizidae	Sporophila hypoxantha (Cabanis, 1851)	caboclinho-de-barriga- vermelha	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila ruficollis (Cabanis, 1851)	caboclinho-de-papo-escuro	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila palustris (Barrows, 1883)	caboclinho-de-papo-branco	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila cinnamomea (Lafresnaye, 1839)	caboclinho-de-chapéu- cinzento	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila melanogaster (Pelzeln, 1870)	caboclinho-de-barriga-preta	CR
Aves	Aves	Passeriformes	Emberizidae	Sporophila angolensis (Linnaeus, 1766)	curió	VU
Aves	Aves	Passeriformes	Emberizidae	Sporophila maximiliani (Cabanis, 1851)	bicudo	CR
Aves	Aves	Passeriformes	Emberizidae	Amaurospiza moesta (Hartlaub, 1853)	negrinho-do-mato	VU
Aves	Aves	Passeriformes	Emberizidae	Charitospiza eucosma (Oberholser, 1905)	mineirinho	CR
Aves	Aves	Passeriformes	Emberizidae	Coryphaspiza melanotis (Temminck, 1822)	tico-tico-de-máscara-negra	CR
Aves	Aves	Passeriformes	Cardinalidae	Saltator atricollis (Vieillot, 1817)	bico-de-pimenta	VU
Aves	Aves	Passeriformes	Cardinalidae	Cyanocompsa brissonii (Lichtenstein, 1823)	azulão	VU
Aves	Aves	Passeriformes	Parulidae	Basileuterus leucophrys (Pelzeln, 1868)	pula-pula-de-sobrancelha	EN
Aves	Aves	Passeriformes	Fringillidae	Euphonia chalybea (Mikan, 1825)	cais-cais	VU
